,From,To,Cost,Var
643,469,241,150.0,2520.03703142045
644,469,243,2281.0,574027.7825073524
645,470,469,2281.0,226380.29663155074
646,349,471,65.66666666666667,400.7142171583897
647,345,471,23.2,49.74930680079306
648,471,301,35.40944881889764,183.67529661696292
649,339,472,25.0,56.73612504694263
650,472,486,25.0,44.725420770963936
651,229,473,25.0,45.40061543981473
652,473,301,38.33333333333334,204.03799565938513
653,475,474,150.8181818181818,2824.5840121327415
654,240,476,150.8181818181818,3406.6099265801463
655,476,475,150.8181818181818,2463.9450725112274
656,230,477,53.0,359.8204780331013
657,478,317,53.0,370.34074758587013
658,477,478,53.0,230.47384613913087
659,256,479,184.0,3084.7045853608843
660,479,255,9.0,5.292154033352351
661,293,480,40.5,208.57800577727778
662,480,465,82.2,1023.1155888582409
663,481,293,16.0,10.813112831075419
664,482,578,16.0,21.29184778038767
665,292,483,17.69444444444444,15.231563022965046
666,300,484,31.03529411764706,85.41674473405747
667,484,345,29.60526315789474,43.308482791259976
668,485,339,30.0,140.80752756273975
669,486,485,41.27272727272727,245.5773527117178
670,484,487,73.66666666666667,807.5942660031108
671,487,486,96.4,747.330661959293
672,488,235,18.0,41.54549387388177
673,491,494,385.0,13782.737777302476
674,492,493,385.0,14423.859038333612
675,489,490,99.66666666666667,924.6387579642209
676,490,500,99.66666666666667,706.2590154501513
677,490,492,99.66666666666667,1284.8851171597348
678,492,491,99.66666666666667,1127.2670744183245
679,500,493,99.66666666666667,1127.6531784511615
680,493,494,99.66666666666667,654.9733570069573
681,491,495,99.66666666666667,915.0711363787332
682,495,501,99.66666666666667,696.5784237405683
683,496,298,99.66666666666667,1548.5641715924787
684,501,496,99.66666666666667,1348.0568285714894
685,497,433,18.0,50.035111475230266
686,270,502,28.0,55.9165495936914
687,502,298,31.66666666666667,72.27046610166732
688,495,498,31.66666666666667,60.281668867868966
689,494,498,31.66666666666667,104.08683356625353
690,498,496,8.0,6.1739859655290585
691,298,499,16.0,20.21829005868307
692,499,497,16.0,22.220882919734134
693,455,489,16.0,20.87208529787766
694,502,501,16.0,20.52028236383537
695,350,503,114.8571428571429,1403.941287415182
696,503,269,114.8571428571429,1810.9766338454888
