From,To,Length,Cost,Var
163,1175,304.7306833,59.78383807,442.8545023
163,1273,1429.612616,35.36389595,103.2903164
164,285,3785.284771,19.85416379,33.61439345
164,429,3630.189347,20.19109664,6.95783608
164,246,5555.625992,53.69930401,39.79081247
165,179,1042.151102,105.0620509,724.259982
166,247,1007.20024,318.5132441,27613.30595
167,765,1686.876154,88.15344284,495.9807263
167,575,1212.751048,92.35796484,387.9509429
167,355,824.5702416,259.5848721,8931.250985
168,314,592.1145424,32.13905373,47.20059822
168,236,648.108398,25.6999942,39.69631473
168,1164,498.4011262,58.72073537,176.5785695
169,667,456.4763158,46.55052056,188.1700307
169,666,758.9915608,60.60793082,465.2099938
169,1028,590.2740786,32.10932017,103.3477375
170,379,335.3455183,119.5667946,961.8706752
171,226,217.7945999,19.69181397,199.383476
171,1172,250.1177755,71.67689361,256.2409888
171,470,282.5648445,15.86870719,2.491225706
172,1889,662.8173793,75.22128551,370.6861264
172,1461,868.2777382,58.7119146,237.0725224
172,1455,1488.209222,48.27092849,123.6036366
173,1739,247.6028455,12.40956136,3.170184831
173,1492,124.9885857,82.8176311,260.3511758
173,1857,264.9908061,20.22622552,30.61927814
856,173,316.353673,57.62569075,162.5627577
174,371,209.9648436,55.21140488,158.8522502
174,563,440.7880496,47.59085773,137.4179584
174,554,461.0406423,41.74716538,66.51470691
175,395,194.8399982,26.36852652,86.16969382
175,230,192.3210884,71.97092272,510.2439147
175,533,192.5446616,135.9738605,523.8187677
176,335,359.6266167,79.67520203,627.6396291
176,474,187.5999976,43.26600601,195.9387092
176,1150,293.6547713,22.29244802,22.08868022
176,976,2332.882465,37.65198348,140.5556093
177,1241,607.8317277,37.34439467,121.6821249
177,1145,421.055211,26.60168446,17.95032603
177,1293,404.8263078,65.52898819,490.0049229
178,375,383.5351888,151.7571215,1128.790435
178,233,355.3244599,78.1017467,105.847811
180,351,119.0059977,125.9135193,2355.956809
180,247,465.079489,56.97264866,660.9352929
180,260,199.1673978,164.839268,3803.395936
181,757,1119.4482,122.7168191,912.6044016
182,1535,607.0437569,44.8777751,308.7493468
182,1269,237.384053,91.84257517,1693.58037
182,262,222.4363981,77.20203621,1079.013582
183,1415,827.6900126,25.01797693,18.62861497
183,1070,1273.221246,175.1211931,3300.256113
183,902,221.4271661,50.44745126,99.33053603
184,423,749.885223,55.45161682,240.5756895
184,277,2158.517894,55.36885452,91.43726538
184,303,2239.113637,87.22419539,1556.120511
184,367,733.8491381,52.40323597,172.5854592
185,1043,880.2680957,71.14398893,527.5538221
185,760,202.805409,54.45496765,200.4842753
185,720,217.7093658,57.51667136,134.3449192
186,1404,362.6073537,73.67778582,247.5188072
186,1901,340.0459077,35.78997267,118.5569652
186,1491,461.8181134,38.20019832,54.61530521
187,1516,246.5623188,38.86498525,156.1075942
187,1711,640.8767311,44.10821963,77.72048491
187,1552,1658.984337,89.44971742,544.6966024
187,1753,963.8123125,38.9952497,94.48097763
188,491,1357.614927,55.30322441,58.71916855
188,202,218.5365629,177.6871778,2317.626512
188,653,319.6698727,15.51639567,10.90532856
188,359,422.1405494,66.46220299,226.7066689
189,417,349.507551,6.974989825,3.334173854
189,395,401.2949579,141.310385,1029.894703
190,1074,568.33417,37.31743429,30.53997972
190,1004,551.763024,44.43821213,127.8799492
190,200,122.5245309,29.85412395,33.58529954
191,1040,70.09905097,73.71733578,382.4124112
191,362,391.1443351,21.11796125,10.9013616
191,865,234.484803,64.37827208,531.009011
191,1328,350.2268409,31.19645081,128.4423513
192,375,1152.580029,187.8399387,5296.323841
192,324,612.8852385,157.5064937,1233.043943
195,765,230.0838524,87.59235032,496.9269862
195,575,1023.613396,92.71380428,1013.794866
195,584,447.1794015,51.6213601,409.7198336
196,1682,344.1873759,20.91782273,95.44876896
196,1580,280.4339864,14.21073853,10.6760768
197,951,149.8594526,27.14689866,28.67559511
197,1423,99.16646842,16.38508727,12.48537578
197,1415,153.1367922,63.28444897,242.2135158
198,464,311.8275242,60.38851491,12.20634744
198,238,530.9788349,29.46596757,3.747048602
199,752,1027.36922,159.2364595,3143.762306
199,868,1622.907788,142.2663151,2535.546167
199,720,1371.854501,60.02755088,160.0670661
199,776,775.7273466,52.37882645,167.7775442
200,1081,1273.221246,36.76810932,22.00837062
200,552,429.7601915,47.15155387,125.830462
201,454,1423.545352,65.56439266,168.4452397
201,1853,660.0908925,68.93585094,352.2367018
201,1713,138.1830066,87.93079105,517.2275393
201,1073,517.3137746,71.02488771,135.9906544
202,644,668.0956507,264.8543168,873.5728154
203,256,512.3204759,48.34292388,42.54193569
203,295,191.6409795,16.68691461,18.98021204
204,1204,435.7195761,22.04736721,68.18675885
204,857,708.1282195,84.08661478,473.5307117
205,747,346.8276777,19.94482509,5.952076433
205,1268,638.6214367,25.73363272,2.890216163
206,529,700.0652288,178.8576751,291.7476038
206,375,522.8182633,74.32909653,825.6167726
207,512,520.6009924,191.9275858,3018.770678
207,1703,525.6727881,124.132576,2056.032595
209,476,484.2725668,51.43111345,125.5571978
209,701,531.3212946,83.87930451,79.37990525
209,420,352.9601232,114.7924498,1143.922561
210,1414,252.2814082,12.95835145,11.32105252
210,1207,219.2840124,28.37747963,63.95234671
210,1481,169.1415537,123.7346652,1699.249229
211,1056,356.833513,88.18718838,516.7451654
212,238,193.4954925,21.98759139,6.321873088
213,596,186.6504078,29.20787516,19.40361726
213,1001,1642.392969,16.9388968,7.577651719
214,344,745.0250747,108.5719695,953.7669201
214,1443,1099.55667,20.40805966,28.28943231
214,1668,183.7408367,29.96135752,50.03606812
215,1839,245.8542348,31.52405681,62.22845069
215,1031,1151.644154,28.02351927,11.69670094
215,1875,56.12003488,80.08278659,294.4390899
216,518,274.1133533,29.25781234,28.63600476
217,243,251.8647729,154.2417377,1176.564529
217,269,290.8412154,73.33652107,1199.148783
217,347,475.2483778,33.49657869,41.94835195
218,373,199.749515,40.34882065,57.62426711
218,822,559.1429178,50.86210494,280.0725115
218,1180,296.0129091,85.3782791,704.3327057
219,564,259.4707753,80.15414425,954.1468406
219,457,3785.284771,56.4071327,182.56293
219,998,2139.601077,40.62858101,31.11426176
219,1823,2011.063681,110.7644927,1106.98247
220,363,3154.6432,52.47608362,245.1038583
221,325,2179.590363,43.84614601,50.82874421
222,725,6002.490796,44.66441187,58.78133093
222,274,618.1188471,46.72556849,212.6596899
222,398,565.2138329,40.357107,120.9685948
222,485,702.2276992,42.66486631,138.3314577
223,567,498.4011262,35.04418762,43.54084243
223,1339,757.4978528,45.62727524,58.85991659
224,1014,528.5533142,23.32931759,28.93857525
224,874,784.7516748,17.29479001,3.726738337
225,329,124.7648613,34.18856601,29.8811222
225,264,107.4526092,156.3060317,4638.468989
226,402,191.0314798,20.9628814,38.61007894
226,903,227.001576,56.57637732,463.9072043
226,1623,580.2083918,47.3306281,597.6524228
1464,227,148.8402194,28.6653744,23.07442611
227,1044,587.8169162,15.14687529,5.404114814
227,1322,513.6855656,27.96494177,48.21075976
