From,To,Length,Cost,Var
87,356,402.5694056,37.73287944,76.49067477
87,973,883.1558153,25.35377829,95.47015304
87,213,987.1946311,65.79560138,438.6620079
88,1762,766.5512676,32.04407672,321.0550012
88,1190,964.822029,30.13241406,57.60852878
88,570,949.7687465,23.21372663,29.00339972
89,1453,1234.279989,87.29738832,930.8547647
89,404,633.6067313,52.1320242,233.2481664
89,1845,619.7093779,24.21994051,100.3265994
89,1003,711.2274612,27.10587356,75.45774909
90,500,1080.785337,49.86002425,98.43564714
90,527,792.6168708,79.09032078,306.8774462
91,321,214.3025008,58.8059046,681.9366711
91,308,269.0872958,69.37594842,262.0871623
92,878,363.9071631,24.06972317,362.6610511
92,283,520.1873761,59.62768769,262.7061918
92,1180,418.6414886,73.15979238,459.7604636
92,510,209.2367022,58.31447525,127.0706825
93,664,366.3525489,23.13862201,32.95611158
93,271,364.7385995,48.22949082,452.4235843
93,574,1658.984337,58.56552583,51.45150435
93,1211,477.5222472,193.8141185,3947.632689
94,220,1769.885404,185.4054465,4430.3387
94,259,460.3875534,100.4682075,1082.669672
94,337,256.210622,62.62203062,414.4171607
94,311,443.8111945,75.59600863,138.586459
95,123,232.8683491,119.6255208,2628.984512
95,207,174.7956832,303.0570407,12036.68581
95,165,144.6887032,103.1801071,966.5211401
95,137,198.5438166,262.7370803,4850.553934
96,1020,214.3053235,48.3561096,94.84223678
96,273,224.9325864,114.3691053,866.1175712
96,152,124.055725,101.2561451,2803.521666
97,181,437.604509,38.59384437,10.58185322
97,741,104.1724733,55.87670947,88.0427648
98,1608,190.9052235,49.57074594,178.0652302
98,1013,280.2382615,43.80123258,99.64488983
98,1478,272.1300849,43.74789364,163.0871599
98,1378,622.3122248,49.65506102,255.6647556
99,276,537.6519444,68.1293086,1429.028692
99,1237,250.6598557,68.70721821,287.3320333
99,923,284.4441927,29.28802737,38.03021842
100,427,297.4542591,50.46618667,154.1263606
100,211,346.78701,73.07478952,249.5631207
100,170,310.8469857,87.60204847,768.5777631
101,1043,859.1051817,72.41735341,855.9050732
101,413,120.950215,44.70845129,144.0674807
101,402,931.4646503,27.92366777,169.4070627
102,1536,1083.881004,141.5688866,2208.974382
102,1800,762.4217694,28.97879712,76.14845497
103,998,557.8703401,51.00399645,386.7180923
103,762,365.5265608,54.86587558,182.2675711
103,553,881.2258787,22.42858321,49.72300459
104,333,2127.548928,171.9509408,2030.3302
104,599,827.6900126,86.02948942,2077.196387
105,321,2267.452804,82.27353901,608.521992
105,406,619.7093779,144.9518748,742.657846
105,334,592.1145424,207.3644214,4357.417227
106,822,618.8615534,30.99600967,285.8327028
106,715,304.8576438,288.5222289,44424.11007
106,546,138.1830066,149.2745417,643.8413265
107,1193,200.9250985,20.30934253,17.41195939
107,1096,268.7515305,17.28724852,19.91026307
108,233,290.3158797,11.06486592,10.56914851
108,1217,238.0516,60.04777284,810.6367369
108,220,301.3132414,75.43361979,594.8930988
109,179,254.7836353,56.72843298,39.97109773
109,193,372.02162,333.2088071,19426.54165
110,194,234.1682854,74.2999484,753.4619618
110,208,963.8123125,80.03985025,4158.247783
110,221,670.6359917,56.57780227,889.5079069
111,709,495.6572492,29.17874191,97.04688992
111,125,230.078411,47.30634927,253.7244328
111,339,325.53111,59.78174777,177.6109136
111,1299,370.3952835,69.2985381,340.8097305
112,1870,490.4980126,59.20918665,814.1436956
112,734,812.2037884,24.36933017,46.33583268
112,1097,75.3913012,29.08597226,453.8748273
113,1280,161.9954584,21.97583767,13.03318729
113,727,324.4906359,54.43543191,190.3645245
113,1335,383.5315126,39.56032953,99.90077547
114,412,1058.0009,61.01917231,383.2989697
114,225,804.0456248,82.18721842,1812.02113
115,776,549.5478994,81.12814287,770.6825791
115,720,1085.589741,71.79086605,333.0864276
115,641,919.8431229,67.04418868,226.2927147
