From,To,Length,Cost,Var
103,998,557.8703401,83.71774513,1116.163032
103,762,365.5265608,95.42273983,729.9514382
103,553,881.2258787,26.40572886,121.4238085
104,333,2127.548928,209.3044552,4236.032477
104,599,827.6900126,88.05963588,651.3022913
105,321,2267.452804,98.01726873,1272.087311
105,406,619.7093779,144.3556146,1515.820128
105,334,592.1145424,247.4830792,2328.501527
106,822,618.8615534,50.50454173,396.3831682
106,715,304.8576438,244.0344632,62003.6486
106,546,138.1830066,135.9594835,4578.701065
107,1193,200.9250985,23.33347838,23.57703631
107,1096,268.7515305,19.76579233,11.54016682
108,233,290.3158797,12.66709119,19.48293494
108,1217,238.0516,60.80428364,401.5807403
108,220,301.3132414,67.54755648,293.3905355
109,179,254.7836353,54.06266454,41.71407926
109,193,372.02162,229.8161878,3040.443313
110,194,234.1682854,75.20676614,1267.669036
110,208,963.8123125,105.5318424,3823.007664
110,221,670.6359917,83.5949053,2311.842435
111,709,495.6572492,26.82815674,64.50501126
111,125,230.078411,53.98338913,255.0234388
111,339,325.53111,61.38844909,138.3997267
111,1299,370.3952835,138.0628195,24658.19247
112,1870,490.4980126,65.23477955,771.7694466
112,734,812.2037884,27.99335796,36.23290031
112,1097,75.3913012,31.02134492,85.66870819
113,1280,161.9954584,23.57442501,17.19131935
113,727,324.4906359,66.0323718,342.435487
113,1335,383.5315126,28.13097567,55.60014827
114,412,1058.0009,54.81466266,98.74921109
114,225,804.0456248,89.26004906,821.1552802
115,776,549.5478994,67.3775538,181.414497
115,720,1085.589741,57.40933676,435.2850923
115,641,919.8431229,63.46975068,195.5509386
115,695,1640.565362,91.35311899,1067.323658
200,116,1866.193322,54.19461427,503.9934686
117,1203,372.5739333,40.98219497,88.62280809
117,1612,67.67788705,14.73219096,16.5529466
118,1017,88.70577189,174.0697712,712.2599383
118,1107,534.7818544,20.08177755,87.76912572
118,473,107.0088861,27.61079944,25.26230071
118,294,473.6901755,180.9233289,4806.231934
119,189,2179.281715,40.93007662,152.392338
119,372,775.7273466,33.53869081,164.1954765
119,175,3154.6432,162.0740551,1323.188327
763,120,565.2138329,85.37846449,490.4593875
120,564,540.5774824,46.4156178,180.4759399
120,906,397.2930404,43.6501509,78.51208539
120,588,382.8435085,46.04659283,307.5750705
121,740,426.6868549,67.06346197,498.1387533
121,1075,294.8788977,104.816254,1010.109505
122,178,1033.325213,47.30777096,157.5565092
122,220,97.02682425,130.3079207,936.0653183
122,259,169.5263733,113.2667366,2326.442381
123,151,377.2787873,118.9707736,1451.185181
124,166,379.1506685,147.7316079,4129.503448
124,194,170.884252,120.7639774,945.2487417
124,338,175.0677146,357.1963467,8006.738941
125,638,541.0916099,41.98338933,109.8202694
125,1242,491.9788734,37.54793468,148.3142426
125,887,304.3038699,35.57581582,156.6842854
126,585,399.5874423,116.6749776,1578.092591
126,1230,440.0064418,83.61134107,446.5052487
126,1386,514.6940253,34.02045885,96.40108605
126,377,223.2688421,44.9592518,147.441369
127,400,245.4249467,66.41068833,469.233195
127,853,146.9511223,71.89241441,420.9966032
127,1363,93.60051923,82.6733956,345.333785
127,759,1343.962194,116.7441686,846.3202647
128,1300,389.1891435,219.9882193,17955.01877
128,316,1360.418285,143.580386,732.3514772
129,1029,205.9431244,41.8695769,209.8071162
129,253,598.1445228,24.48262861,17.82435377
129,587,1152.580029,23.48293877,17.71949004
130,745,245.8542348,30.97924103,77.10784053
130,1261,276.4329203,55.71545315,234.9875202
130,444,444.6381518,26.97681075,315.6781522
131,1630,290.5469425,32.87022773,691.0419392
131,1813,472.1494252,58.14504018,198.7206692
1761,131,689.9948448,40.07659014,121.7707595
131,1282,860.6192695,88.80460682,1421.930545
132,563,530.9788349,46.87311458,82.13869167
132,590,1122.026642,151.8906251,2554.584265
132,536,1158.153395,76.26800631,841.6231605
133,334,1234.279989,59.19001593,295.5725954
133,704,881.2258787,60.92350572,194.5523426
133,659,1007.20024,52.9444959,113.9827573
